"text","class_label"
"kaget tbtb kosan getar seperti gempa","saksi_mata"
" purworejo rasa gempa","saksi_mata"
" syalawatan goncang jogja gempa","saksi_mata"
"jogja barusan gempa ya rasa kasur getar","saksi_mata"
"gempa tidak sih tapi bentar sangat","saksi_mata"
" gempa benaran barusan merasa","saksi_mata"
"kukira pantat yang getar gempa","saksi_mata"
"gempa tidak sih rasa sangat masyaallah","saksi_mata"
" eh sumpah sing oleng auto lihat galon air nya goyang memang gempa","saksi_mata"
"gempa anjrit aku setan kasur iseng","saksi_mata"
" gempa min demang rasa","saksi_mata"
"iya gempa astagfirullah rasa sangat goyang keras","saksi_mata"
"astagfirullah kaget sangat aku duduk manis kursi tbtb kursi geter sampai cermin aku bunyi tahu gempa","saksi_mata"
"gempa beberapa detik mengira yang halu","saksi_mata"
"sumpah gempa ajg","saksi_mata"
" tidur tibatiba rasa gempa kaget sangat","saksi_mata"
"astagfirullah sudah tidur padahalmalah gempa ya astgaa lantai lagi","saksi_mata"
" mag sep wib lok ls buat pusat gempa darat kamu barat daya bukittinggi kedlmn kamu rasa mmi saya iii bukittinggi","bukan_saksi_mata"
" mag sep wib lok kamu buat pusat gempa darat kamu baratdaya takengonaceh kedlmn kamu rasa mmi saya iii nagan raya saya iii benar riah saya iii aceh","bukan_saksi_mata"
" mag sep wib lok kamu buat pusat gempa laut kamu barat tolitoli kedlmn kamu rasa mmi saya iii tolitoli","bukan_saksi_mata"
"gempa bumi magnitud landa taiwan ummahtoday baca","bukan_saksi_mata"
"gempa guncang taiwan ingat tsunamicaberbunyi","bukan_saksi_mata"
"tampak dahsyat gempa taiwan makan korban jiwa pray for taiwan","bukan_saksi_mata"
" innalillahi kabar gempa karena bangun","bukan_saksi_mata"
" akibat gempa taiwan","bukan_saksi_mata"
"gempa kuat sr guncang tenggara taiwan","bukan_saksi_mata"
"taiwan alami kali gempa","bukan_saksi_mata"
"gempa magnitudo guncang taiwan alarm tsunami bunyi","bukan_saksi_mata"
"taiwan alami kali gempa susul","bukan_saksi_mata"
"keren sih nge video tidak tremor kalau yang ngevideo sudah seperti gempa","bukan_saksi_mata"
" tanggap darurat tangan dampak gempa pulau siberut senin","bukan_saksi_mata"
"momen horor gempa sama taiwan","bukan_saksi_mata"
"dahsyat gempa taiwan kereta rel ratus orang luka","bukan_saksi_mata"
"video momen horor gempa sama taiwan","bukan_saksi_mata"
"gempa susul guncang taiwan tenggara senin gempa kuat kota taipei hari gempa kuat tewas orang cedera","bukan_saksi_mata"
"gempa taiwan","bukan_saksi_mata"
"gempa susul berlaku hari lepas gegar kuat akibat maut kirakira cederacacaca","bukan_saksi_mata"
"guncang gempa sama taiwan rasa taiwan","bukan_saksi_mata"
"info gempa mag sep wib lok ls buat kamu baratdaya kotasukabumijabar kedlmn kamu bmkg","bukan_saksi_mata"
" tag langsung tidak ngetweet apacb ku januari gempa deh banjir","bukan_saksi_mata"
"gempa kini sr takengon aceh dalam kamu","bukan_saksi_mata"
" dengar taiwan gempa ya please ku","bukan_saksi_mata"
"ramal indigo nama gempa taiwan nyata ingat daerah indonesia","bukan_saksi_mata"
"gempa bumi magnitud landa taiwan taiwan landa gempa bumi ukur magnitud hari lepas gegar kuat korban nyawa cedera kirakira","bukan_saksi_mata"
"taiwan landa gempa susul berita penuh","bukan_saksi_mata"
" gempa lokal","bukan_saksi_mata"
"personil gabung polresta palu pimpin wakapolsek iptu made antera shmelaksanakan aman aksi damai front advokat rakyat pasigala kantor dprd provinsi sulawesi tengahdengan tuntut selesai huni warga korban gempa bumitsunami likuifaksi","bukan_saksi_mata"
" gempa bumi landa taiwan malam warga tidur nyenyak","bukan_saksi_mata"
" sama strikes kamu nw of sumbawa min ago more info","bukan_saksi_mata"
"detikdetik gempa taiwan kemarin","bukan_saksi_mata"
"momen warga taiwan panik guncang gempa sama","bukan_saksi_mata"
"info gempa mag sr sep wit lok ls buat kamu baratlaut kobisontamalteng kamu timur wahaimalteng kedlmn kamu bmkgpgr ix","bukan_saksi_mata"
" gempa sr high voltage high voltage high voltage","bukan_saksi_mata"
"taiwan terkena gempa","bukan_saksi_mata"
"gempa sr guncang aceh nagan raya","bukan_saksi_mata"
"gunung api lumpur fenomena tiada kait gempa taiwan e pakar geologi","bukan_saksi_mata"
"taiwan tenggara landa gempa sr lukaluka","bukan_saksi_mata"
"gunung api letus gunung api lumpur taman hidup liar tabin lahad datu malam tiada kait gempa bumi kuat gegar taiwan petang malam artikel penuh","bukan_saksi_mata"
"video ngeri plafon gor jatuh akibat gempa taiwan jakarta gempa kuat landa pantai timur taiwan sabtu dampak pulau miyakojima jepang plafon gedung olahraga gorea","bukan_saksi_mata"
"gempa magnitudo landa taiwan tenggara minggu gempa gelincir gerbong kereta sebab puluh bangun runtuh jebak ratus orang jalan gunung","bukan_saksi_mata"
"gempa kuat sama landa pantai tenggara taiwan minggu gempa jepang keluar ingat tsunami","bukan_saksi_mata"
" duka taiwan terkena musibah gempa bumi","bukan_saksi_mata"
"video ngeri plafon gor jatuh akibat gempa taiwan gempa kuat landa pantai timur taiwan sabtu dampak pulau miyakojima jepang plafon gedung olahraga gor pulau tampakea","bukan_saksi_mata"
"gempa magnitudo hantam yujing timur taiwan","bukan_saksi_mata"
"bangun lantai toserba eleven dasar tinggal atas ambruk akibat gempa taiwan orang jebak","bukan_saksi_mata"
"gempa bumi sebab rusak warga lukaluka ratus warga ungsi guncang gempa bumi bmkg sar masyarakat berhatihati gempa bumi susul","bukan_saksi_mata"
"guncang gempa bumi kuat magnitudo gempa bumi kuat magnitudo selesai guncang gempa bumi september kuat magnitudo","bukan_saksi_mata"
"gempa tawa ulang kali changemakers minggu september gempa bumi kuat guncang pulau tawa sumatera barat sumber foto","bukan_saksi_mata"
"tinggal lantai pas gempa tidak tahu lari mana pasrah yang taiwan tinggal safe","bukan_saksi_mata"
" hati ya takut nya gempa susul","bukan_saksi_mata"
"pusat gempa taitungtaiwan sr sr sr hualien taipei sr hualien sr rusak bangun roboh","bukan_saksi_mata"
" tinggal safe abang gempa ya","bukan_saksi_mata"
" tinggal safe kakak btw mana kakak gempa","bukan_saksi_mata"
" sama kamu e of yujing taiwan utc cbn cbe kamu depth","bukan_saksi_mata"
"gempa pas rebus indomie ed","bukan_saksi_mata"
"tidak bayang taitung city bagaimana harus hantam gempa puluh kali malam sampai","bukan_saksi_mata"
"gempa bumi kuat mcaberlaku taiwan ptg september pusat gb letak coba utara coba timur dalam kamu kamu tenggara chiayitaiwan tiada ancam tsunami malaysia","bukan_saksi_mata"
"taiwan semalem terkena gempa sekarang besar tsunami warning hope everyone is safe","bukan_saksi_mata"
" heran lagi gempa ngungsi ngetwit kakak ra","bukan_saksi_mata"
"info gempa mag sep wib lok ls buat kamu baratdaya bukittinggisumbar kedlmn kamu bmkgpgr v","bukan_saksi_mata"
" wat gempa mana jah hatihati kamu tinggal safe sparkles","bukan_saksi_mata"
" tinggal safe ya kakak taipei habis landa taifun langsung gempa gempa","bukan_saksi_mata"
"memang mulut ini kudu jaga ya kemarin mengomong ectumben taiwan tidak ada gempaed","bukan_saksi_mata"
" lapor guna aplikasi earthquake network kamu lapor radius kamu unduh aplikasi terima ingat nyata","bukan_saksi_mata"
" peta bmkg gempa sr pusat gadut agam","bukan_saksi_mata"
" barusan memang gempa ya","bukan_saksi_mata"
"mana gempa","bukan_saksi_mata"
"pls gempa tidur bentar saja","bukan_saksi_mata"
" semalem taiwan gempa mulu","bukan_saksi_mata"
"masya allah taipei gempa lagiudah tiga kali dari semalem","bukan_saksi_mata"
" rill kakak pas ss tribun orang diri itu yang ikut ya loncat itu asa gempa","bukan_saksi_mata"
" gempa total gempa gempa major setaiwan gempa lokal bawah sr tinggal safe","bukan_saksi_mata"
" hati kakak gempa nya reda","bukan_saksi_mata"
" iya ini tidak tahu taiwan kemarin malam gempa mulu","bukan_saksi_mata"
" memang orang taiwan itu sudah santai sangat kah sama gempa takut tapi kg arah dari orang hotel shdbshcbs ottokeeeeee","bukan_saksi_mata"
" view statik angle pastu ambil angle pula takpe ini angle itu goyang apehal nak shoot gempa bumi terima kot","bukan_saksi_mata"
" bayang sih kakak pakai triplek asa seperti gempa tidak fokus menonton","bukan_saksi_mata"
" ngeri seperti yang palu tanah gerak yang pacu gempa","bukan_saksi_mata"
"info gempa mag sr sep wit lok ls buat kamu baratlaut wahaimalteng kamu utara sawaimalteng kedlmn kamu bmkgpgr ix","bukan_saksi_mata"
" taiwan gempa mulu teman","bukan_saksi_mata"
"gempa bumi sederhana mcaberlaku taiwan ptg september pusat gb letak coba utara coba timur dalam kamu kamu timur chiayitaiwan tiada ancam tsunami malaysia","bukan_saksi_mata"
"gempa bumi kuat landa taiwan","bukan_saksi_mata"
" alhamdulillah sudah sangat kakak mayang tidak ngabarin sana gempa tinggal safe ya kakak","bukan_saksi_mata"
"siang gempa taiwan haha","bukan_saksi_mata"
" memang suka gempa begitu kah","bukan_saksi_mata"
" hai kakak kalau gempa potensi tsunami kamu jarak aman bibir pantai","bukan_saksi_mata"
"wah pusat gempa ya taitung pantas kencang sangat","bukan_saksi_mata"
" lepastu tutup pintu kereta gempa bumi skala richter","bukan_saksi_mata"
" lapor korban rusak akibat gempa bumi taiwan","bukan_saksi_mata"
"radar bogor gempa tektonikcaguncang kabupaten sukabumi gin kekuatannyacaca","bukan_saksi_mata"
"gempa kamu foto","bukan_saksi_mata"
"rumah hancur kereta henti gempa bumi guncang taiwan","bukan_saksi_mata"
"mensos resmi rumah tahan gempa sarana kembang sdm kawasancaperbatasan","bukan_saksi_mata"
" gempa bumi gunung letus hot beverage","bukan_saksi_mata"
"seperti gin itu iya bagus gerak seperti aku tremor dikit langsung seperti gempa wkwkkw","bukan_saksi_mata"
" hah terus bagaimana tidak papa saja gempa serius","bukan_saksi_mata"
"gempa sukabumi mag kamu sukabumi","bukan_saksi_mata"
" rabu bpbd dki jakarta sosialisasi simulasi tangan bencana gempa bumi rumah sakit tebet jl letjen mt haryono kav tebet barat sih teea e more","bukan_gempa"
" selasa bpbd dki jakarta sosialisasi simulasi tangan bencana gempa bumi pt kimia farma diagnostika jakarta pusat e more","bukan_gempa"
" best korean disaster movie versi haeundae tidal wave edbecabebc film cerita bencana tsunami akibat gempa pantai haeundae bus film per","bukan_gempa"
" lumayan simulasi gempa wkwk","bukan_gempa"
" sangat kemarin mimpi gempa eh pas gempa benaran aku sudah tidur","bukan_gempa"
" stabil sangat nder tang tidak simulasi gempa","bukan_gempa"
" eh serius aku tidur siang mimpi gempa","bukan_gempa"
" rumah aku mimpi begitu deh kali gempa begitu seperti susul ya","bukan_gempa"
" kalau dom pakai saja kakak kalau dekat tidak usah kemarin beli tv sopiii tidak pakai packing kayuampproteksialhamdulillah amansoalnya turut dus asli sudah foam yang nah produk aman guncang","bukan_gempa"
" ku simulasi sunam pascagempa bumi","bukan_gempa"
" gempa kaca pecah nimpa tidur sudah seperti final destination maksa seperti gin kaca pasti pakai temper","bukan_gempa"
" kalau gempa bumi malam pot nimpa kepala orang yang tidur","bukan_gempa"
" wat gempa mana jah hatihati kamu tinggal safe sparkles","bukan_gempa"
" asa simulasi gempa cbcbcafgteltcbcafcb","bukan_gempa"
" simulasi gempa bumi mah punten punten","bukan_gempa"
" lupa judulnya film barat awal film anak main pogo stick seperti gempa monster bentuk seperti ular warna coklat tanah mulut nyedot manusia barang kalau selamat tidak terkena tanah","bukan_gempa"
" untuk untuk anti gempa","bukan_gempa"
" ajar lapor bencana gempa gunung api kakak kasih tahu simulasi","bukan_gempa"
" yoi gempa susul astagfirullah keep calm saja hati tetap panik cuy gemeter dengkul aku","bukan_gempa"
" rekam konser tapi pas play simulasi gempa goyang isi video nya","bukan_gempa"
" pawang gempa pakar cinta","bukan_gempa"
" gempa hati seperti wkwk","bukan_gempa"
" kamera sudah seperti simulasi gempa","bukan_gempa"
" hahahahha ide bagus sudah kali gempa sana","bukan_gempa"
" minus kalau ambil makan online lift jalan risiko kalau gempa tetap keep calm hati panik pas turun tangga evakuasi kadang antri pas lift kalau datengnya mepet jam masuk","bukan_gempa"
" simulasi kebakaransimilasi gempa gempa benaran turun tangga darurat besok kaki pegelcb","bukan_gempa"
" debar ini kpk ya hati nya seperti gempa bumi","bukan_gempa"
"ecberbahagialah orang dalam hati tanam cinta dalam saiyidina muhammad ibni abdillah dbdd daddd dbddad ddbdded habib ali al habsyi sohib kwitang","bukan_gempa"
"echati bersih adab hati bersih datang rahsia hati rahsia hati muncul ilmu cahayaed habib ali ben syeikh abu bakar bin salim","bukan_gempa"
"ecini tarik kawankawan klaten komunitas nama hati peduli sandang disabilitas dampak jadi gempa klaten yogyakartaed ganjar","bukan_gempa"
"eckapal terbang darat landas batu bata kayu halang ilmu dia lekat dalam hati kotored syeikh nuruddin marbu al banjar","bukan_gempa"
"ecsalah tanda seperti allah dbdadaddadd ddaadbdadd hamba iaitu tenang hati jiwa duduk dalam majlismajlis kebaikaned habib salim ben hafidz","bukan_gempa"
"ya pikir air guncang sulit tenang nya","bukan_gempa"
" pandora edcebfebdbc kota gempa bumi gempa sebab bangkit listrik tenaga nuklir kota alami bocor bangkit nuklir ledak nyawa korban film per","bukan_gempa"
" yang tahu arti garu kbbi garu alat untuk rata tanah garu suara yang dengar di dalam mimpi ambu tidur menit adegan ambu makna alam baik dengan tanah retaklongsorgempa dan sebagainya lah hawla wala quwwatta ilabillah","bukan_gempa"
" aku akhircb minimal interaksi sama orang n chat mengobrol langsung mental lagi down sangat mimpi buruk anxiety sangat kalau ingat mimpi tsunami gempa tapi yang tidak selamat cuma vaya menangis waktu lihat jasad vaya mimpi","bukan_gempa"
" hati sudah bikin guncang gempa bumi ya","bukan_gempa"
" kali sakit sampai mimisan kali ulu hati tenggorok sinus seperti gempa kalau batuk wkwk","bukan_gempa"
"basarnas pos surakarta gelar simulasi gempa sdn papah karanganyar","bukan_gempa"
"ajar selamat gempa siswa sd temanggung latih simulasi tanggap bencana","bukan_gempa"
"ajar selamat gempa siswa sd temanggung latih simulasi tanggap bencana","bukan_gempa"
"ajar selamat gempa siswa sd temanggung latih simulasi tanggap bencana","bukan_gempa"
"tahan guncang comeback bcs saya addicted tapi percaya kasihh jarak hapus janji setia jaga hati","bukan_gempa"
" bola tuas air raksa gulir sentuh garis akibat guncang bom ledak","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin terpana","bukan_gempa"
"caratland hati penuh guncang","bukan_gempa"
"cinematography okay time action scene kamera itu terkena gempa bumi cameraman itu parkinson adik movie okay je fight scene puas hati time tembak meriam kamera nak terkena gegar haih","bukan_gempa"
"edukasi tanggap bencana siswa sdn papah karanganyar ikut simulasi gempa","bukan_gempa"
" sih salah aku karena nah tidak jatuh hati beberapa sekaliny jatuh langsung gempa langsung runtuh tanah longsor banjir bandang tsunami angin topan","bukan_gempa"
"gajah cipta gempa mini jatuh cinta","bukan_gempa"
"gempa bumi sebab rusak warga lukaluka ratus warga ungsi guncang gempa bumi bmkg sar masyarakat berhatihati gempa bumi susul","bukan_gempa"
"gempa tlh trjdi karena kakak t mnggtarkan hati aku","bukan_gempa"
"gub kagum dengan komunitas hati beliau janji bantu latih kaum disabilitas peduli sandang disabilitas dampak jadi gempa klaten yogyakarta","bukan_gempa"
"jumat september giat latih simulasi bencana bakar gempa dpd ppni kabupaten kudus","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati fatinslquotes","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
" seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"lantas percaya ubah merah tanda berhatihati selamat guncang badai amuk merangsek isi hati efbfefbfefbfefbf","bukan_gempa"
"memaafi hsw wadah ls nya pakai carbong terus logo tutup sama stiker yc hindar guncang taruh koperkmrin nemu shopee murce parah langsung cowok tidak muat ternytaa muat hehe ready for","bukan_gempa"
"mantap hati guncang mantan","bukan_gempa"
"damping bp wagub dki jakarta acara simulasi tangan bakar gempa kantor balaikota dki jakarta","bukan_gempa"
"michristychibi seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"mimpi gempa","bukan_gempa"
"mimpi gempa bumi","bukan_gempa"
"mimpi gempa really be confusing af aku langsung cek tetangga tidak tidak wkwk","bukan_gempa"
"mimpi gempa trauma yang hilang","bukan_gempa"
"mimpi gempa terus lari lol","bukan_gempa"
"mitigasi bencana kering musliah bicara gempa bumi tidak lngsng telan korban jiwam namunbangunan yang rusak akibat guncang gempa amp jatuh timpa tubuh menyebbkan korban jiwa bencana","bukan_gempa"
"mohon tenang simulasi latih respon instrumen","bukan_gempa"
"ngestan nct bikin guncang jiwa","bukan_gempa"
"ngopi simulasi gempa wkwk","bukan_gempa"
"oh ya tolong penting kesalamatan ya tahu tribun ice buat jingkrak ya seperti simulasi gempa guys benaran goyang guys jadi better hypenya ya kontrol dikitt saja","bukan_gempa"
"orang lain kalau pinga bbm hpny yang geter kalau yang ping cinta ya geter seperti gempa bumi teensyori","bukan_gempa"
" mengapai deh seperti gawai kantor simulasi gempa bakar","bukan_gempa"
"sakit hati ampun dosa besarnyaed syeikh abdul qadir al jailani","bukan_gempa"
"rabu bpbd dki jakarta sosialisasi simulasi tangan bencana gempa bumi rumah sakit tebet jl letjen mt haryono kav tebet barat sih tebet jakarta selatan","bukan_gempa"
"sabtu simulasi bencana gempa bumi ktb rintis bumijo lurah bunijo kemantren jetis yogyakarta","bukan_gempa"
"sabtu sepetember tulis malam mimpi gempa kencang bangun rubuh hancur","bukan_gempa"
" satu salah ungkap maaf sa mulut busuk beda guncang hati kuat tandak jujur ku keluar mulut","bukan_gempa"
" capai mimpi seperti join corp begitu eug salah manager yang naungin talent talentnya itu isi rem sempat mimpi cerita gempa sr naudzubillah ya allah moga tidak gempa","bukan_gempa"
"habis gempa pagi yang nanyain bagaimana masih pcr sana aku doi langsung yaallah hati sejuk sangat ditanyain kabar seperti begitu tanda doi sayang orang","bukan_gempa"
"selasa bpbd dki jakarta sosialisasi simulasi tangan bencana gempa bumi rumah sakit khusus daerah rskd duren sawit jakarta timur","bukan_gempa"
"selasa bpbd dki jakarta sosialisasi simulasi tangan bencana gempa bumi pt kimia farma diagnostika jakarta pusat","bukan_gempa"
"selfie bantu bencana tweet bencanabot ajak simulasi lapor bencana selfie yuk lomba provinsi ini nya","bukan_gempa"
