"teks","class_label"
"lagi rebah terus ngerasa goyang w pusing terus coba lihat pintu lemari goyang w sudah gemetar ambil mukena lari ke eh adek w santai ae w gempa tidak tdi bilang tidak tahu terus w tawa ngiranya w pusing pas cek twt beneran gempa","saksi_mata"
"eeh beneran gempa deng","saksi_mata"
"sumbar gempa ya allah","saksi_mata"
"gempa jujur takut yuk jemput saya","saksi_mata"
"anjay sumbar gempa cok","saksi_mata"
"gempa","saksi_mata"
"gempa tuhan","saksi_mata"
"aela tdr gempa","saksi_mata"
"barusan gempa tidak sih","saksi_mata"
"mules gempa","saksi_mata"
"gempa ya allah","saksi_mata"
"gempa kah barusan waah","saksi_mata"
"woi gempa aa","saksi_mata"
"gempa tidak siiii","saksi_mata"
"badan gw oleng asa gempa mulu dah","saksi_mata"
"gempa ya","saksi_mata"
"gempa","saksi_mata"
"gempa padang ya allah","saksi_mata"
"aku yang ngerasain gempa sepersekian detik gimane benar lagi diem terus seperti goyang begitu","saksi_mata"
"kamu ngerasa gempa tidak","saksi_mata"
"gempa tidak sih","saksi_mata"
"ini gempa kat taiwan dibezakan gempa kuat ini selamat hutan bangun lt","bukan_saksi_mata"
"detikdetik gempa taiwan kemarin","bukan_saksi_mata"
"lombok hancur nopang tiang r kalau lombok rumah ngangkat pondasi yang taiwan tidak munculin kondisi rumah ngeri memang jembatan fly over magnitudo gempa darat magnitudo dengan dalam dangkal juga imbas rusak","bukan_saksi_mata"
"gempa taiwan berapa tinggal","bukan_saksi_mata"
"taiwangempa bumi","bukan_saksi_mata"
"kait gempa bumi meksiko gempa taiwan seismolog via","bukan_saksi_mata"
"rentet gempa guncang taiwan gempa kuat kuat sr","bukan_saksi_mata"
"taiwan dah gempa confirm banjir niiiiiiiiiii strategi nk temerloh paksa lockdown","bukan_saksi_mata"
"gempa kuat m landa pantai tenggara taiwan minggu gempa jepang keluar ingat tsunami","bukan_saksi_mata"
"orel di taiwan gempa k tidak kenapa","bukan_saksi_mata"
"gempa bumi taiwan","bukan_saksi_mata"
"potret erik gedunggedung taiwan porak poranda akibat gempa","bukan_saksi_mata"
"video tampak jembatan ambruk akibat gempa dahsyat taiwan","bukan_saksi_mata"
"gempa taiwan pabrik semikonduktor jalan normal","bukan_saksi_mata"
"gegar susul landa tenggara taiwan isnin gempa ukur skala richter berlaku kota taipei hari lepas gempa sebab korban jiwa orang cedera","bukan_saksi_mata"
"lihat berita taiwan sudah puluh kali gempa susul oreeiii tinggal safe yaakk","bukan_saksi_mata"
"gempa bumi kuat magnitudo guncang taiwan potensi tsunami gempa dahsyat taiwan alami gempa susul kali moga kondisi taiwan pulih","bukan_saksi_mata"
"pantai timur taiwan guncang gempa kuat sr mohon doa moga baikbaik","bukan_saksi_mata"
"gempa sr taiwan moga minim korban","bukan_saksi_mata"
"magnitudo guncang pantai timur taiwan cnn indonesia","bukan_saksi_mata"
"gempa bumi taiwan taufan amar tsunami jepun","bukan_saksi_mata"
"doa baik taiwan gempa skala","bukan_saksi_mata"
"gempa bumi kuat magnitudo guncang pantai timur taiwan minggu","bukan_saksi_mata"
"gempa kuat m guncang taiwan via","bukan_saksi_mata"
"gempa magnitudo guncang taiwan ingat tsunami keluar","bukan_saksi_mata"
"taiwan landa gempa sore indonesia","bukan_saksi_mata"
"gempa kuat skala richter landa tenggara taiwan jarang duduk minggu","bukan_saksi_mata"
"gempa kuat m landa pantai tenggara taiwan gempa jepang keluar ingat tsunami","bukan_saksi_mata"
"gempa taiwan tulis abang","bukan_saksi_mata"
"gempa nya taiwan tsunami nya jepang tinggal safe","bukan_saksi_mata"
"jepun amar tsunami ekor gempa taiwan berita hari","bukan_saksi_mata"
"gempa bumi taiwan tiada ancam tsunami malaysia","bukan_saksi_mata"
"gempa bumi landa tenggara taiwan minggu gempa picu ingat tsunami","bukan_saksi_mata"
"gempa kuat m landa pantai tenggara taiwan minggu jepang keluar ingat tsunami","bukan_saksi_mata"
"gempa bumi ukur magnitud landa wilayah malam gegar baharu kuat takat","bukan_saksi_mata"
"gempat m guncang pantai taiwan ingat tsunami","bukan_saksi_mata"
"m taiwan","bukan_saksi_mata"
"taiwan gempa","bukan_saksi_mata"
"akibat gempa taiwan barusan n bangun runtuh n beberapa orang jatuh motor n sepeda","bukan_saksi_mata"
"gempa taiwan and im here lagi karantina jadi tidak boleh","bukan_saksi_mata"
"global taipei gempa bumi ukur magnitud landa daerah taitung ahad september petang tempat sebab gelombang kejut rasai taiwan","bukan_saksi_mata"
"gempa taiwan","bukan_saksi_mata"
"orang nyantai kalau gempa gempa w chill tetap makan dapur karena bangun taiwan itu sudah bangun anti gempa wkwk pikir kalau pas w indonesia gempa tetap ngechill terus tibatiba braaakkkkkk","bukan_saksi_mata"
"gempa magnitudo guncang pantai timur taiwan","bukan_saksi_mata"
"gempa kuat landa wilayah tenggara taiwan","bukan_saksi_mata"
"informasi kait ingat tsunami wilayah taiwan gempa m","bukan_saksi_mata"
"rasa magnitudo dalam km sep wib koordinat ls bt pusat gempa laut km barat daya kebumen rasa mmi i yogyakarta i gunung kidul i kulon progo i bantul i sleman","bukan_saksi_mata"
"gempa bumi magnitudo m guncang air kabupaten cilacap jawa malam terang bmkg","bukan_saksi_mata"
"gempa bumi magnitudo m guncang air kabupaten bantul daerah istimewa yogyakarta y malam terang bmkg","bukan_saksi_mata"
"gempa magnitudo guncang tawa pagi zona megathrust","bukan_saksi_mata"
"gempa kini guncang pulau tawa magnitudo","bukan_saksi_mata"
"tawa guncang gempa magnitudo pagi news","bukan_saksi_mata"
"gempa magnitudo getar tawa sumbar rabu pagi september bmkg gempa tawa potensi tsunami","bukan_saksi_mata"
"pulau tawa pagi guncang gempa magnitudo potensi tsunami","bukan_saksi_mata"
"gempa gempa kuat magnitudo m mentawati sumatera barat gempa pusat dalam kilometer","bukan_saksi_mata"
"gempa magnitudo guncang tawa sumatera barat pagi potensi tsunami","bukan_saksi_mata"
"gempa kuat magnitudo m mentawati sumatera barat gempa pusat dalam kilometer","bukan_saksi_mata"
"magnitudo dalam km sep wib koordinat ls bt km baratlaut kepmentawaisumbar potensi tsunami","bukan_saksi_mata"
"gempa bumi garut selasa magnitudo sukabumi","bukan_saksi_mata"
"gempa kuat magnitudo guncang pulau tawa sumatera barat bmkg gempa potensi tsunami","bukan_saksi_mata"
"magnitudo dalam km sep wib koordinat ls bt km baratlaut kepmentawaisumbar potensi tsunami","bukan_saksi_mata"
"gempa kuat magnitudo m barat daya kabupaten sukabumi jawa barat pusat gempa laut","bukan_saksi_mata"
"bmkg gempa bumi nias selatan kuat magnitudo wib","bukan_saksi_mata"
"gempa mag mexico gempa m mexio tepat dengan ingat gempa mati gempabesar guncang kotamexico senin siang kutip dariafpmenurut catat badan seismologi nasional gempa catat kuat magnitudo","bukan_saksi_mata"
"korban tewas akibat gempa kuat magnitudo m meksiko tambah orang tewas sembilan orang lukaluka akibat insiden","bukan_saksi_mata"
"orang hancur ratus bangun ingat gempa bumi gempa kuat magnitudo sebab orang tewas kota","bukan_saksi_mata"
"alarm gempa kota meksiko bunyi warga tumpah jalan erik karina suarez evakuasi gedung tinggal september gempa kuat magnitudo kota meksiko tewas","bukan_saksi_mata"
"gempa mag mexico gempa m mexico tepat dengan ingat gempa mati tahun gempabesar guncang kotameksiko senin siang kutip dariafpmenurut catat badan seismologi nasional gempa catat kuat magnitudo","bukan_saksi_mata"
"rasa magnitudo sep wib koordinat ls bt pusat gempa laut km barat daya kabupaten sukabumi dalam km","bukan_saksi_mata"
"innalillahi gempa magnitudo guncang meksiko fasilitas rusak jokowi cebong selingkuh lukas enembe hooh adam suseno rossa","bukan_saksi_mata"
"sukabumi guncang gempa magnitudo berpotensitsunami","bukan_saksi_mata"
"gempa magnitudo guncang meksiko fasilitas rusak","bukan_saksi_mata"
"rasa magnitudo sep wib koordinat ls bt pusat gempa laut km barat daya kabupaten sukabumi dalam km","bukan_saksi_mata"
"gempa bumi magnitudo m guncang air kabupaten bantul daerah istimewa yogyakarta y malam terang bmkg","bukan_saksi_mata"
"gempa magnitudo guncang kabupatensukabumi","bukan_saksi_mata"
"gempa kuat magnitudo m barat daya kabupaten sukabumi jawa barat jabar pusat gempa laut","bukan_saksi_mata"
"gempa bumi guncang sukabumi selasa wib bmkg gempa bumi kuat magnitudo m","bukan_saksi_mata"
"gempa magnitudo guncang kabupaten sukabumi banten bogor","bukan_saksi_mata"
"gempa guncang sukabumi magnitudo bogor","bukan_saksi_mata"
"sukabumi guncang gempa magnitudo potensi tsunami","bukan_saksi_mata"
"gempa magnitudo guncang pantai pasifik meksiko senin september tewas orang","bukan_saksi_mata"
"video detikdetik meksiko guncang gempa magnitudo jakarta mexico city guncang gempa kuat magnitudo senin siang gempa warga panik hambur jalan","bukan_saksi_mata"
"kebumen guncang gempa magnitudo rasa yogyakarta bmkg hatihati gempa susul","bukan_saksi_mata"
"berita gempa magnitudo guncang taiwan kuat guncang gempa darat bangun roboh jalan utama amblas gempa magnitudo guncang meksiko","bukan_saksi_mata"
"lombok hancur nopang tiang r kalau lombok rumah ngangkat pondasi yang taiwan tidak munculin kondisi rumah ngeri memang jembatan fly over magnitudo gempa darat magnitudo dengan dalam dangkal juga imbas rusak","bukan_saksi_mata"
"gempa magnitudo guncang meksiko barat senin tewas orang hancur bangun","bukan_saksi_mata"
"rusak akibat gempa magnitudo guncang meksiko","bukan_saksi_mata"
"warga meksiko kejut gempa magnitudo negara ingat peristiwa gempa mati tanggal","bukan_saksi_mata"
"tepat gempa dasyat meksiko guncang gempa magnitudo","bukan_saksi_mata"
"meksiko guncang gempa dahsyat magnitudo selasa sebab tsunami tewas orangkorban jiwa lapor tambah","bukan_saksi_mata"
"warga meksiko kejut gempa magnitudo negara ingat peristiwa gempa mati tanggal","bukan_saksi_mata"
"bmkg gempa magnitudo guncang meksiko zona megathrust","bukan_saksi_mata"
"gempa kuat magnitudo landa meksiko barat guncang bangun ratus mil jauh mexico city ingat gempa senin september sumber","bukan_saksi_mata"
"gempa bumi kuat magnitudo guncang taiwan potensi tsunami gempa dahsyat taiwan alami gempa susul kali moga kondisi taiwan pulih","bukan_saksi_mata"
"gempa magnitudo guncang kebumen malam yogyakarta lengkap klik taut","bukan_saksi_mata"
"tarik gempa meksiko tanggal september gempa kuat gempa puebla september magnitudo tewas orang akibat rusak negara meksiko","bukan_saksi_mata"
"gempa rusak meksiko populer gempa micchoacan september magnitudo ikut gempa susul mag menyababkan korban jiwa orang tinggal dunia","bukan_saksi_mata"
"pusat gempa meksiko pagi lokasi dekat gempa magnitude and gempa dahsyat magnitudo rusak wilayah michoacan gempa magnitudo","bukan_saksi_mata"
"dasar sejarah gempa peristiwa gempa kuat jadi zona subduksi amerika dalam tjd kali gempa signifikan dengan magnitudo jarak km pusat gempa magnitudo pagi","bukan_saksi_mata"
"gempa magnitudo guncang meksiko picu ingat tsunami via","bukan_saksi_mata"
"gempa magnitudo guncang meksiko selasa september pagi dinihari wib siang pusat darat pantai pasifik meksiko","bukan_saksi_mata"
"selasa bpbd dki jakarta sosialisasi simulasi tang bencana gempa bumi pt kimia farma diagnostika jakarta pusat e more","bukan_gempa"
"best korean disaster movie versi haeundae tidal wave film cerita bencana tsunami akibat gempa pantai haeundae bus film per","bukan_gempa"
"lumayan simulasi gempa wkwk","bukan_gempa"
"banget kemarin mimpi gempa eh pas gempa beneran gw sudah tidur","bukan_gempa"
"stabil sangat nder tang tidak simulasi gempa","bukan_gempa"
"eh serius aku tidur siang mimpi gempa","bukan_gempa"
"rumah guaa mimpi begitu deh x gempa begitu seperti susul ya","bukan_gempa"
"kalau dom pakai saja kakak kalau deket tidak usah kemarin beli tv sopiii gapake packing kayuampproteksialhamdulillah amansoalnya turut dus asli sudah foam yang nah produk aman guncang","bukan_gempa"
"q simulasi sunam pascagempa bumi","bukan_gempa"
"gempa kaca pecah nimpa tidur sudah seperti final destination maksa seperti begini kaca pasti pakai temper","bukan_gempa"
"kalau gempa bumi malem pot nimpa kepala orang yang tidur","bukan_gempa"
"wat gempa mana jah hatihati kamuu tinggal safe","bukan_gempa"
"asa simulasi gempa gtlt","bukan_gempa"
"simulasi gempa bumi mah punten punten","bukan_gempa"
"lupa judulnyaa film barat awal film anak main pogo stick seperti gempa monster bentuk seperti ular warna coklat tanah mulut nyedot manusia barang kalau selamat tidak kena tanah","bukan_gempa"
"tuk tuk anti gempa","bukan_gempa"
"ajar lapor bencana gempa gunung api kakak kasih tahu simulasi","bukan_gempa"
"yoi gempa susul njir keep calm saja hati tetap panik cuy gemeter dengkul gw","bukan_gempa"
"rekam konser tapi pas play simulasi gempa goyang isi video nya","bukan_gempa"
"pawang gempa pakar cinta","bukan_gempa"
"gempa hati seperti wkwk","bukan_gempa"
"kamera sudah seperti simulasi gempa","bukan_gempa"
"hahahahha ide bagus sudah kali gempa sana","bukan_gempa"
"minus kalau ambil makan online lift jalan risiko kalau gempa tetap keep calm hati panik pas turun tangga evakuasi kadang antri pas lift kalau datengnya mepet jam masuk","bukan_gempa"
"simulasi kebakaransimilasi gempa gempa beneran turun tangga darurat besok kaki gel","bukan_gempa"
"debar ini kpk ea hati nya seperti gempa bumi","bukan_gempa"
"bahagia orang dalam hati tanam cinta dalam saiyidina muhammad ibni abdillah habib ali al habsyi sohib kwitang","bukan_gempa"
"hati bersih adab hati bersih datang rahsia hati rahsia hati muncul ilmu cahaya habib ali ben syeikh abu bakar bin salim","bukan_gempa"
"tarik kawankawan klaten komunitas nama hati peduli sandang disabilitas dampak jadi gempa klaten yogyakarta ganjar","bukan_gempa"
"kapal terbang darat landas batu bata kayu halang ilmu ia lekat dalam hati kotor syeikh nuruddin marbu al banjar","bukan_gempa"
"salah tanda kaya allah hamba iaitu tenang hati jiwa duduk dalam majlismajlis baik habib salim ben hafidz","bukan_gempa"
"pikir air guncang sulit tenang nya","bukan_gempa"
"pandora kota gempa bumi gempa sebab bangkit listrik tenaga nuklir kota alami bocor bangkit nuklir ledak nyawa korban film per","bukan_gempa"
"yang tahu arti garu kbbi garu alat untuk rata tanah garu suara yang dengar di dalam mimpi ambu tidur menit adegan ambu makna alam baik dengan tanah retaklongsorgempa dan bagai la hawla wala quwwatta ilabillah","bukan_gempa"
"aku minimal interaksi sama orang entah chat ngobrol lgsg mental lagi down banget mimpi buruk anxiety banget kalau inget mimpi tsunami gempa tapi yang tidak selamat Cuma vaya tangis wk lihat jasad vaya mimpi","bukan_gempa"
"hati sudah bikin guncang gempa bumi ya","bukan_gempa"
"kali sakit sampai mimisan x ulu hati tenggorok sinus seperti gempa kalau batuk wkwk","bukan_gempa"
"basarnas pos surakarta gelar simulasi gempa sdn papah karanganyar","bukan_gempa"
"ajar selamat gempa siswa sd temanggung latih simulasi tanggap bencana","bukan_gempa"
"ajar selamat gempa siswa sd temanggung latih simulasi tanggap bencana","bukan_gempa"
"ajar selamat gempa siswa sd temanggung latih simulasi tanggap bencana","bukan_gempa"
"tahan guncang comeback bcs saya addicted to percaya kasihh jarak hapus janji setia jaga hati","bukan_gempa"
"bola tuas air raksa gulir sentuh garis akibat guncang bom ledak","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin rona","bukan_gempa"
"bumi getar akibat gempa sungguh prihatin bencana hati gemetar cinta dilihatin bikin terpana","bukan_gempa"
"caratland hati penuh guncang","bukan_gempa"
"cinematography okay time action scene kamera tu kena gempa bumi cameraman tu parkinson adik movie okay je fight scene puas hati time tembak meriam kamera nak kena gegar haih","bukan_gempa"
"edukasi tanggap bencana siswa sdn papah karanganyar ikut simulasi gempa","bukan_gempa"
"sih salah aku krna nah tidak jatuh hati beberapa sekaliny jatuh langsung gempa langsung runtuh tanah longsor banjir bandang tsunami angin topan","bukan_gempa"
"gajah cipta gempa mini jatuh cinta","bukan_gempa"
"gempa bumi sebab rusak warga lukaluka ratus warga ungsi guncang gempa bumi bmkg sar masyarakat berhatihati gempa bumi susul","bukan_gempa"
"gempa tlh trjdi krna k t mnggtarkan hati aku","bukan_gempa"
"gub kagum dengan komunitas hati beliau janji bantu latih kaum disabilitas peduli sandang disabilitas dampak jadi gempa klaten yogyakarta","bukan_gempa"
"jumat september giat latih simulasi bencana bakar gempa dpd ppni kabupaten kudus","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati fatinslquotes","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"lantas caya ubah merah tanda berhatihati selamat guncang badai amuk merangsek isi hati","bukan_gempa"
"maafin hsw wadah ls nya pakai carbong terus logo tutup sama stiker yc hindar guncang taruh koperkmrin nemu shopee murce parah langsung co tidak muat ternytaa muat hehe ready for","bukan_gempa"
"mantap hati guncang mantan","bukan_gempa"
"damping bp wagub dki jakarta acara simulasi tang bakar gempa kantor balaikota dki jakarta","bukan_gempa"
"michristychibi seperti lempeng bumi ya geser dikit saja hati","bukan_gempa"
"mimpi gempa","bukan_gempa"
"mimpi gempa bumi","bukan_gempa"
"mimpi gempa really be confusing af gw langsung cek tetangga tidak tidak wkwk","bukan_gempa"
"mimpi gempa trauma yang hilang","bukan_gempa"
"mimpi gempa terus lari lol","bukan_gempa"
"mitigasi bencana kering musliah bicara gempa bumi tidak lngsng telan korban jiwam namunbangunan yang rusak akibat guncang gempa amp jatuh timpa tubuh menyebbkan korban jiwa bencana","bukan_gempa"
"mohon tenang simulasi latih respon instrumen","bukan_gempa"
"ngestan nct bikin guncang jiwa","bukan_gempa"
"ngopi simulasi gempa wkwk","bukan_gempa"
"oh ya tolong penting kesalamatan ya tahu tribun ice buat jingkrak ya seperti simulasi gempa guys beneran goyang guys jdi better hypenya ya kontrol dikitt saja","bukan_gempa"
"orang laen kalau pinga bbm hpny yang geter kalau yang ping cinta y geter seperti gempa bumi teensyori","bukan_gempa"
"apa dah seperti gawai kantor simulasi gempa bakar","bukan_gempa"
"sakit hati ampun dosa besar syeikh abdul qadir al jailani","bukan_gempa"
"rabu bpbd dki jakarta sosialisasi simulasi tang bencana gempa bumi rumah sakit tebet jl letjen mt haryono kav tebet barat c tebet jakarta selatan","bukan_gempa"
"sabtu simulasi bencana gempa bumi ktb rintis bumijo lurah bunijo kemantren jetis yogyakarta","bukan_gempa"
"sabtu sepetember tulis malam mimpi gempa kenceng bangun rubuh hancur","bukan_gempa"
"satu salah ungkap maaf sa mulut busuk beda guncang hati kuat tandak jujur ku keluar mulut","bukan_gempa"
"capai mimpi seperti join corp begitu eug salah manager yang naungin talent talentnya itu isi rem sempat ngimpi cerita gempa sr naudzubillah ya allah moga tidak gempa","bukan_gempa"
"habis gempa pagi yang nanyain bagaimana ms pcr sana aku doi langsung yaallah hati sejuk sangat ditanyain kabar seperti begitu tanda doi sayang orang","bukan_gempa"
"selasa bpbd dki jakarta sosialisasi simulasi tang bencana gempa bumi rumah sakit khusus daerah rskd duren sawit jakarta timur","bukan_gempa"
"selasa bpbd dki jakarta sosialisasi simulasi tang bencana gempa bumi pt kimia farma diagnostika jakarta pusat","bukan_gempa"
"selfie bantu bencana tweet bencanabot ajak simulasi lapor bencana selfie yuk lomba provinsi ini nya","bukan_gempa"
"semlm mimpi random sangat cerita gw tinggal japan amp kerja sana pas jam istirahat badai dtg gempa amp smua orang lari selamatin gw juga usaha tapi tidak bisa karena tanah amp bangun sudah miring smua smua tenggelam h rem deh pkknya tapi untung Cuma mimpi","bukan_gempa"
"gempa taiwan harap berhatihati","bukan_gempa"
